Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 2,Counts of employees,By industry group,Other primary industries,Maori authorities,Counts,1150,2017
Table 2,Counts of employees,By industry group,Other primary industries,Maori authorities,Counts,1100,2018
Table 2,Counts of employees,By industry group,Other primary industries,Maori authorities,Counts,1350,2019
Table 2,Counts of employees,By industry group,Other primary industries,Maori authorities,Counts,1350,2020
Table 2,Counts of employees,By industry group,Other primary industries,Maori authorities,Counts,1250,2021
Table 2,Counts of employees,By industry group,Non-residential property operators,Maori authorities,Counts,260,2017
Table 2,Counts of employees,By industry group,Non-residential property operators,Maori authorities,Counts,240,2018
Table 2,Counts of employees,By industry group,Non-residential property operators,Maori authorities,Counts,260,2019
Table 2,Counts of employees,By industry group,Non-residential property operators,Maori authorities,Counts,270,2020
Table 2,Counts of employees,By industry group,Non-residential property operators,Maori authorities,Counts,390,2021
Table 2,Counts of employees,By industry group,All other industries,Maori authorities,Counts,7600,2017
Table 2,Counts of employees,By industry group,All other industries,Maori authorities,Counts,7800,2018
Table 2,Counts of employees,By industry group,All other industries,Maori authorities,Counts,8000,2019
Table 2,Counts of employees,By industry group,All other industries,Maori authorities,Counts,8400,2020
Table 2,Counts of employees,By industry group,All other industries,Maori authorities,Counts,6600,2021
Table 2,Counts of employees,By industry group,Total,Maori authorities,Counts,10200,2017
Table 2,Counts of employees,By industry group,Total,Maori authorities,Counts,10400,2018
Table 2,Counts of employees,By industry group,Total,Maori authorities,Counts,11200,2019
Table 2,Counts of employees,By industry group,Total,Maori authorities,Counts,11800,2020
Table 2,Counts of employees,By industry group,Total,Maori authorities,Counts,9900,2021
Table 3,Counts of businesses,By business size,0 to 19,Maori authorities,Counts,1050,2017
Table 3,Counts of businesses,By business size,0 to 19,Maori authorities,Counts,1092,2018
Table 3,Counts of businesses,By business size,0 to 19,Maori authorities,Counts,1134,2019
Table 3,Counts of businesses,By business size,0 to 19,Maori authorities,Counts,1146,2020
Table 3,Counts of businesses,By business size,0 to 19,Maori authorities,Counts,1101,2021
Table 3,Counts of businesses,By business size,20 to 49,Maori authorities,Counts,36,2017
Table 3,Counts of businesses,By business size,20 to 49,Maori authorities,Counts,33,2018
Table 3,Counts of businesses,By business size,20 to 49,Maori authorities,Counts,33,2019
Table 3,Counts of businesses,By business size,20 to 49,Maori authorities,Counts,39,2020
Table 3,Counts of businesses,By business size,20 to 49,Maori authorities,Counts,51,2021
Table 3,Counts of businesses,By business size,50 to 99,Maori authorities,Counts,24,2017
Table 3,Counts of businesses,By business size,50 to 99,Maori authorities,Counts,24,2018
Table 3,Counts of businesses,By business size,50 to 99,Maori authorities,Counts,27,2019
Table 3,Counts of businesses,By business size,50 to 99,Maori authorities,Counts,24,2020
Table 3,Counts of businesses,By business size,50 to 99,Maori authorities,Counts,24,2021
Table 3,Counts of businesses,By business size,100+,Maori authorities,Counts,18,2017
Table 3,Counts of businesses,By business size,100+,Maori authorities,Counts,18,2018
Table 3,Counts of businesses,By business size,100+,Maori authorities,Counts,18,2019
Table 3,Counts of businesses,By business size,100+,Maori authorities,Counts,21,2020
Table 3,Counts of businesses,By business size,100+,Maori authorities,Counts,21,2021
Table 3,Counts of businesses,By business size,Total,Maori authorities,Counts,1128,2017
Table 3,Counts of businesses,By business size,Total,Maori authorities,Counts,1164,2018
Table 3,Counts of businesses,By business size,Total,Maori authorities,Counts,1209,2019
Table 3,Counts of businesses,By business size,Total,Maori authorities,Counts,1230,2020
Table 3,Counts of businesses,By business size,Total,Maori authorities,Counts,1197,2021
Table 4,Counts of employees,By business size,0 to 19,Maori authorities,Counts,1950,2017
Table 4,Counts of employees,By business size,0 to 19,Maori authorities,Counts,1950,2018
Table 4,Counts of employees,By business size,0 to 19,Maori authorities,Counts,2050,2019
Table 4,Counts of employees,By business size,0 to 19,Maori authorities,Counts,2000,2020
Table 4,Counts of employees,By business size,0 to 19,Maori authorities,Counts,2050,2021
Table 4,Counts of employees,By business size,20 to 49,Maori authorities,Counts,1000,2017
Table 4,Counts of employees,By business size,20 to 49,Maori authorities,Counts,920,2018
Table 4,Counts of employees,By business size,20 to 49,Maori authorities,Counts,960,2019
Table 4,Counts of employees,By business size,20 to 49,Maori authorities,Counts,1300,2020
Table 4,Counts of employees,By business size,20 to 49,Maori authorities,Counts,1600,2021
Table 4,Counts of employees,By business size,50 to 99,Maori authorities,Counts,1600,2017
Table 4,Counts of employees,By business size,50 to 99,Maori authorities,Counts,1500,2018
Table 4,Counts of employees,By business size,50 to 99,Maori authorities,Counts,1700,2019
Table 4,Counts of employees,By business size,50 to 99,Maori authorities,Counts,1500,2020
Table 4,Counts of employees,By business size,50 to 99,Maori authorities,Counts,1800,2021
Table 4,Counts of employees,By business size,100+,Maori authorities,Counts,5700,2017
Table 4,Counts of employees,By business size,100+,Maori authorities,Counts,6000,2018
Table 4,Counts of employees,By business size,100+,Maori authorities,Counts,6400,2019
Table 4,Counts of employees,By business size,100+,Maori authorities,Counts,7000,2020
Table 4,Counts of employees,By business size,100+,Maori authorities,Counts,4550,2021
Table 4,Counts of employees,By business size,Total,Maori authorities,Counts,10200,2017
Table 4,Counts of employees,By business size,Total,Maori authorities,Counts,10400,2018
Table 4,Counts of employees,By business size,Total,Maori authorities,Counts,11200,2019
Table 4,Counts of employees,By business size,Total,Maori authorities,Counts,11800,2020
Table 4,Counts of employees,By business size,Total,Maori authorities,Counts,9900,2021
Table 5,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3404840,2017
Table 5,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3511581,2018
Table 5,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3665176,2019
Table 5,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3732778,2020
Table 5,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,4303288,2021
Table 5,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2647109,2017
Table 5,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2919404,2018
Table 5,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3093804,2019
Table 5,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3207696,2020
Table 5,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3458134,2021
Table 5,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,240477,2017
Table 5,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,279382,2018
Table 5,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,268993,2019
Table 5,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,279664,2020
Table 5,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,241080,2021
Table 5,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,66336,2017
Table 5,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,65075,2018
Table 5,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,66755,2019
Table 5,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,68227,2020
Table 5,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,69883,2021
Table 5,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,450918,2017
Table 5,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,247720,2018
Table 5,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,235624,2019
Table 5,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,177191,2020
Table 5,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,534190,2021
Table 5,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2628420,2017
Table 5,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2830942,2018
Table 5,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2984839,2019
Table 5,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3253774,2020
Table 5,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3187273,2021
Table 5,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,150493,2017
Table 5,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,178639,2018
Table 5,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,160869,2019
Table 5,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,140884,2020
Table 5,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,122805,2021
Table 5,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,33643,2017
Table 5,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,34234,2018
Table 5,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,35604,2019
Table 5,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,38185,2020
Table 5,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,29350,2021
Table 5,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,139398,2017
Table 5,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,145459,2018
Table 5,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,148719,2019
Table 5,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,178472,2020
Table 5,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,195206,2021
Table 5,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,493571,2017
Table 5,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,553957,2018
Table 5,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,593367,2019
Table 5,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,631994,2020
Table 5,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,588072,2021
Table 5,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1700909,2017
Table 5,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1870205,2018
Table 5,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1967908,2019
Table 5,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2172032,2020
Table 5,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2155182,2021
Table 5,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,110405,2017
Table 5,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,48447,2018
Table 5,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,78372,2019
Table 5,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,92206,2020
Table 5,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,96658,2021
Table 5,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,414961,2017
Table 5,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,508180,2018
Table 5,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,514051,2019
Table 5,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,519071,2020
Table 5,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,550777,2021
Table 5,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,454627,2017
Table 5,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,536796,2018
Table 5,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,532704,2019
Table 5,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,538770,2020
Table 5,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,558525,2021
Table 5,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,816086,2017
Table 5,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,709255,2018
Table 5,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,698990,2019
Table 5,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,498703,2020
Table 5,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,1123762,2021
Table 5,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,435907,2017
Table 5,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,481365,2018
Table 5,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,523085,2019
Table 5,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,394018,2020
Table 5,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,678483,2021
Table 5,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,19347630,2017
Table 5,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,21553031,2018
Table 5,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,22885396,2019
Table 5,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,23276998,2020
Table 5,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,23417033,2021
Table 5,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,2446422,2017
Table 5,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3757791,2018
Table 5,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3181926,2019
Table 5,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3628980,2020
Table 5,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3695258,2021
Table 5,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,8151582,2017
Table 5,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,8507026,2018
Table 5,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,9034070,2019
Table 5,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,9407731,2020
Table 5,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,9671066,2021
Table 5,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,8749626,2017
Table 5,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,9288213,2018
Table 5,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10669400,2019
Table 5,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10240287,2020
Table 5,Financials - Maori authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10050709,2021
Table 5,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,19347627,2017
Table 5,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,21553030,2018
Table 5,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,22885395,2019
Table 5,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,23276998,2020
Table 5,Financials - Maori authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,23417027,2021
Table 5,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,13631665,2017
Table 5,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,14828486,2018
Table 5,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,15603378,2019
Table 5,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,16212384,2020
Table 5,Financials - Maori authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,16745727,2021
Table 5,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,1828631,2017
Table 5,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2666163,2018
Table 5,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2379305,2019
Table 5,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2394254,2020
Table 5,Financials - Maori authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2575195,2021
Table 5,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,3887331,2017
Table 5,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4058380,2018
Table 5,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4902713,2019
Table 5,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4670360,2020
Table 5,Financials - Maori authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4096105,2021
Table 5,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,300746,2017
Table 5,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,301551,2018
Table 5,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,275765,2019
Table 5,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,288130,2020
Table 5,Financials - Maori authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,375167,2021
Table 5,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,72084,2017
Table 5,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,60906,2018
Table 5,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,52591,2019
Table 5,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,38494,2020
Table 5,Financials - Maori authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,97971,2021
Table 5,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,133.8,2017
Table 5,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,140.9,2018
Table 5,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,133.7,2019
Table 5,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,151.6,2020
Table 5,Financials - Maori authorities,Total all industries,Current ratio,Financial ratios,Percent,143.5,2021
Table 5,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,108.9,2017
Table 5,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,120.8,2018
Table 5,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,111.3,2019
Table 5,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,129.1,2020
Table 5,Financials - Maori authorities,Total all industries,Quick ratio,Financial ratios,Percent,121.8,2021
Table 5,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,6,2017
Table 5,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,4.8,2018
Table 5,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,4.5,2019
Table 5,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,3.1,2020
Table 5,Financials - Maori authorities,Total all industries,Return on equity,Financial ratios,Percent,6.7,2021
Table 5,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,4.2,2017
Table 5,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.3,2018
Table 5,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.1,2019
Table 5,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,2.1,2020
Table 5,Financials - Maori authorities,Total all industries,Return on total assets,Financial ratios,Percent,4.8,2021
Table 5,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,70.5,2017
Table 5,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,68.8,2018
Table 5,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,68.2,2019
Table 5,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,69.6,2020
Table 5,Financials - Maori authorities,Total all industries,Liabilities structure,Financial ratios,Percent,71.5,2021
Table 5,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,41.9,2017
Table 5,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,45.3,2018
Table 5,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,46.7,2019
Table 5,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,43.6,2020
Table 5,Financials - Maori authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,39.8,2021
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,339370,2017
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,422464,2018
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,440601,2019
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,511350,2020
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,512180,2021
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,295460,2017
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,342894,2018
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,391834,2019
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,452537,2020
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,445927,2021
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,17791,2017
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,20797,2018
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,22765,2019
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,24534,2020
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,20705,2021
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6229,2017
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6844,2018
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,7246,2019
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,7621,2020
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6904,2021
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,15816,2017
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,18476,2018
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,20064,2019
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,24512,2020
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,25104,2021
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,41103,2017
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,48892,2018
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,53155,2019
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,59854,2020
Table 6,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,61631,2021
